kind|asset_identifier|holder|amount|_block_height|_created_at
ft|SP32AEEF6WW5Y0NMJ1S8SBSZDAY8R5J32NBZFPKKZ.nope::NOT|SP3K8BC0PPEVCV7NZ6QSRWPQ2JE9E5B6N3PA0KBR9.alex-vault-v1-1|-48086949147|141931|2026-08-03 03:32:36.243332+00
ft|SP3K8BC0PPEVCV7NZ6QSRWPQ2JE9E5B6N3PA0KBR9.brc20-trio::brc20-trio|SP3K8BC0PPEVCV7NZ6QSRWPQ2JE9E5B6N3PA0KBR9.alex-vault-v1-1|-36361278520|146087|2026-08-03 03:35:09.439151+00
ft|SP1Z92MPDQEWZXW36VX71Q25HKF5K2EPCJ304F275.stsw-token-v4a::stsw|SP1Z92MPDQEWZXW36VX71Q25HKF5K2EPCJ304F275.liquidity-token-v5k0zih1dey|-8249293573|141546|2026-08-03 03:32:21.347802+00
ft|SP3K8BC0PPEVCV7NZ6QSRWPQ2JE9E5B6N3PA0KBR9.token-susdt::bridged-usdt|SP3K8BC0PPEVCV7NZ6QSRWPQ2JE9E5B6N3PA0KBR9.cross-bridge-registry-v1-03|-8055511281|136938|2026-08-03 03:30:12.069449+00
ft|SP3K8BC0PPEVCV7NZ6QSRWPQ2JE9E5B6N3PA0KBR9.age000-governance-token::alex|SP3K8BC0PPEVCV7NZ6QSRWPQ2JE9E5B6N3PA0KBR9.alex-lottery|-5999999996|66553|2026-08-03 03:14:17.291118+00
ft|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wrapped-stx-token::wstx|SP2H674PRTZV6YW56K0FMR7GDGZE4ZC5HMYZ3CDEV.hilt|-2831229900|7262280|2026-08-03 08:36:38.214931+00
ft|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wrapped-stx-token::wstx|SP1NAZ59R1ED0V6NH9N0EQBEB3MKT48CQCMKC5Q41.swap-router-v21|-1958047600|225365|2026-08-03 03:52:08.682968+00
ft|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.usda-token::usda|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.arkadiko-vaults-pool-liq-v1-2|-1621506764|144401|2026-08-03 03:34:09.809667+00
ft|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.usda-token::usda|SP3K8BC0PPEVCV7NZ6QSRWPQ2JE9E5B6N3PA0KBR9.alex-vault|-1084420625|55478|2026-08-03 03:12:03.358638+00
ft|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wrapped-stx-token::wstx|SP1NAZ59R1ED0V6NH9N0EQBEB3MKT48CQCMKC5Q41.swap-router-v16|-877141100|163556|2026-08-03 03:43:01.831101+00
ft|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wrapped-stx-token::wstx|SPF9HDW15CMN9JSFJ2Y1PHWANZ5T4HT1F0ZN4JE8.stackswap-swap-v5k|-823675623|145527|2026-08-03 03:34:50.06196+00
ft|SP4SZE494VC2YC5JYG7AYFQ44F5Q4PYV7DVMDPBG.ststx-token::ststx|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.arkadiko-vaults-pool-fees-v1-1|-539806403|146645|2026-08-03 03:35:28.590347+00
ft|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wrapped-stx-token::wstx|SP1QMFV1W1T3CX70W6V95VWGSBJA3WFMVZRABE1FN.stableswap-usda-aeusdc-v-1-2|-441495378|144889|2026-08-03 03:34:28.660595+00
ft|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wrapped-stx-token::wstx|SP2H674PRTZV6YW56K0FMR7GDGZE4ZC5HMYZ3CDEV.swag|-299536610|8669089|2026-08-03 09:53:09.676046+00
ft|SP3Y2ZSH8P7D50B0VBTSX11S7XSG24M1VB9YFQA4K.token-aeusdc::aeUSDC|SPQC38PW542EQJ5M11CR25P7BS1CA6QT4TBXGB3M.stableswap-aeusdc-susdt-v-1-2|-229858332|140800|2026-08-03 03:31:53.516252+00
ft|SPN5AKG35QZSK2M8GAMR4AFX45659RJHDW353HSG.usdh-token-v1::usdh|SP1Y5YSTAHZ88XYK1VPDH24GY0HPX5J4JECTMY4A1.gl-fees-bank|-204647831|857750|2026-08-03 04:41:41.394789+00
ft|SP3K8BC0PPEVCV7NZ6QSRWPQ2JE9E5B6N3PA0KBR9.token-abtc::bridged-btc|SP3K8BC0PPEVCV7NZ6QSRWPQ2JE9E5B6N3PA0KBR9.btc-bridge-endpoint-v1-11|-185843558|137017|2026-08-03 03:30:13.692365+00
ft|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token::wstx|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.arkadiko-vaults-pool-fees-v1-1|-124135049|143800|2026-08-03 03:33:43.948479+00
ft|SP2XD7417HGPRTREMKF748VNEQPDRR0RMANB7X1NK.token-abtc::bridged-btc|SP673Z4BPB4R73359K9HE55F2X91V5BJTN5SXZ5T.cross-peg-in-endpoint-v2-04|-89953866|241563|2026-08-03 03:53:44.440162+00
ft|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wrapped-stx-token::wstx|SP3Q1G8K374D58XTJWCXVEVEJPQ0BH3MEQKZ5H2C0.amm-pool-v2-01|-86875470|1521640|2026-08-03 05:19:18.267904+00
ft|SP3DX3H4FEYZJZ586MFBS25ZW3HZDMEW92260R2PR.Wrapped-Bitcoin::wrapped-bitcoin|SP3K8BC0PPEVCV7NZ6QSRWPQ2JE9E5B6N3PA0KBR9.alex-vault-v1-1|-49834904|104245|2026-08-03 03:21:53.689631+00
stx|STX|SP20X3DC5R091J8B6YPQT638J8NR1W83KN6TN5BJY.univ2-pool-v1_0_0-0173|-29952162|7429713|2026-08-03 08:44:03.752311+00
ft|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wrapped-stx-token::wstx|SP3JASPNNQH43AH4YGCWQ3F2VCRHMFY69H0NZSZ6X.swap-helper-v134|-29450000|239617|2026-08-03 03:53:33.906942+00
stx|STX|SP2H674PRTZV6YW56K0FMR7GDGZE4ZC5HMYZ3CDEV.hilt|-22178700|7262280|2026-08-03 08:36:38.214931+00
ft|SP3Y2ZSH8P7D50B0VBTSX11S7XSG24M1VB9YFQA4K.token-aeusdc::aeUSDC|SP1R313AY2S6Y245XVTBTH842448XEJZ1VHM4SCD.shoe|-18070920|1531003|2026-08-03 05:19:35.80364+00
stx|STX|SP183MTM6NNBG18YSKCQG7Y5P5HVTAK8WSXJNKYMW.vgld-vault-v4|-17790183|7669268|2026-08-03 08:54:58.746775+00
ft|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wrapped-stx-token::wstx|SP3JASPNNQH43AH4YGCWQ3F2VCRHMFY69H0NZSZ6X.swap-helper-v137|-14180000|239360|2026-08-03 03:53:32.692009+00
ft|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wrapped-stx-token::wstx|SP3JASPNNQH43AH4YGCWQ3F2VCRHMFY69H0NZSZ6X.swap-helper-v136|-13150000|241142|2026-08-03 03:53:42.336652+00
ft|SP2XD7417HGPRTREMKF748VNEQPDRR0RMANB7X1NK.token-abtc::bridged-btc|SP673Z4BPB4R73359K9HE55F2X91V5BJTN5SXZ5T.btc-peg-in-endpoint-v2-05|-5330000|241341|2026-08-03 03:53:43.272223+00
ft|SP3DX3H4FEYZJZ586MFBS25ZW3HZDMEW92260R2PR.Wrapped-Bitcoin::wrapped-bitcoin|SP3K8BC0PPEVCV7NZ6QSRWPQ2JE9E5B6N3PA0KBR9.alex-vault|-2956400|45582|2026-08-03 03:10:35.482428+00
ft|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wrapped-stx-token::wstx|SP3Q1G8K374D58XTJWCXVEVEJPQ0BH3MEQKZ5H2C0.path-apply_staging|-1846629|1553515|2026-08-03 05:20:22.720008+00
ft|SP2XD7417HGPRTREMKF748VNEQPDRR0RMANB7X1NK.token-abtc::bridged-btc|SP2XD7417HGPRTREMKF748VNEQPDRR0RMANB7X1NK.btc-peg-out-endpoint-v2-01|-157571|152932|2026-08-03 03:38:04.027531+00
ft|SP3D6PV2ACBPEKYJTCMH7HEN02KP87QSP8KTEH335.mega::mega|SP3K8BC0PPEVCV7NZ6QSRWPQ2JE9E5B6N3PA0KBR9.alex-vault-v1-1|-6224|133776|2026-08-03 03:28:40.3639+00
ft|SM3VDXK3WZZSA84XXFKAFAF15NNZX32CTSG82JFQ4.sbtc-token::sbtc-token|SP1Y5YSTAHZ88XYK1VPDH24GY0HPX5J4JECTMY4A1.gl-fees-bank|-3699|857754|2026-08-03 04:41:41.407405+00
(52 rows)
